Mem usage,CPU%
3027238,0.0
3027238,0.0
3027238,0.0
3027238,0.0
3027238,0.0
3027238,0.0
3027238,0.01
3027238,0.01
3027238,0.0
3027238,0.0
3502243,11.86
3502243,11.86
3543138,47.13
3543138,47.13
3551526,44.31
3551526,44.31
3551526,41.33
3551526,41.33
3551526,43.51
3551526,43.51
3551526,39.49
3551526,39.49
3477078,41.14
3477078,41.14
3579838,40.67
3579838,40.67
3605004,45.08
3605004,45.08
3605004,46.35
3605004,46.35
3612344,40.16
3612344,40.16
3477078,27.99
3477078,27.99
3612344,34.27
3612344,34.27
3624927,29.57
3624927,29.57
3620732,25.24
3620732,25.24
3616538,29.19
3616538,29.19
3620732,26.98
3620732,26.98
3563061,23.99
3563061,23.99
3624927,25.38
3624927,25.38
3629121,28.67
3629121,28.67
3833593,28.9
3833593,28.9
4304404,29.14
4304404,29.14
4731174,33.91
4731174,33.91
4976541,29.32
4976541,29.32
4997513,20.28
4997513,20.28
7430209,26.06
7430209,26.06
7528775,29.7
7528775,29.7
7552892,28.32
7552892,28.32
7671382,33.56
7671382,33.56
7750025,30.57
7750025,30.57
