Mem usage,CPU%
3083862,0.0
3083862,0.0
3083862,0.0
3083862,0.0
3083862,0.0
3083862,0.0
3083862,0.01
3083862,0.01
3083862,0.0
3083862,0.0
5537529,13.61
5537529,13.61
5562695,44.66
5562695,44.66
5566889,39.85
5566889,39.85
5566889,40.6
5566889,40.6
5566889,48.2
5566889,48.2
5595201,46.35
5595201,46.35
5595201,45.57
5595201,45.57
5595201,44.87
5595201,44.87
5595201,42.46
5595201,42.46
5591007,42.63
5591007,42.63
5603590,38.29
5603590,38.29
5603590,34.0
5603590,34.0
5603590,32.77
5603590,32.77
5603590,33.46
5603590,33.46
5603590,36.74
5603590,36.74
5603590,30.88
5603590,30.88
5521801,31.57
5521801,31.57
5603590,34.29
5603590,34.29
5603590,33.97
5603590,33.97
5603590,34.54
5603590,34.54
5631901,26.16
5631901,26.16
5657067,30.85
5657067,30.85
5664407,29.54
5664407,29.54
5672796,30.47
5672796,30.47
5664407,31.68
5664407,31.68
5754585,33.47
5754585,33.47
5930745,32.49
5930745,32.49
6201278,37.41
6201278,37.41
6516899,31.86
6516899,31.86
7275020,30.86
7275020,30.86
