Mem usage,CPU%
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
5419040,0.0
11072962,8.71
11072962,8.71
11702108,34.11
11702108,34.11
11534336,36.61
11534336,36.61
12645826,37.94
12645826,37.94
12656312,39.2
12656312,39.2
12656312,32.68
12656312,32.68
12677283,35.35
12677283,35.35
13065256,32.73
13065256,32.73
12740198,35.49
12740198,35.49
13075742,32.71
13075742,32.71
12436111,38.21
12436111,38.21
12981370,30.59
12981370,30.59
12771655,29.21
12771655,29.21
12771655,25.3
12771655,25.3
12876513,32.13
12876513,32.13
12845056,28.36
12845056,28.36
13222543,27.01
13222543,27.01
12845056,22.62
12845056,22.62
12782141,24.52
12782141,24.52
12750684,26.56
12750684,26.56
12677283,20.24
12677283,20.24
12561940,25.49
12561940,25.49
13400801,24.6
13400801,24.6
13054771,26.28
13054771,26.28
12866027,21.55
12866027,21.55
13159628,23.98
13159628,23.98
13904117,20.98
13904117,20.98
13956546,21.16
13956546,21.16
13956546,23.13
13956546,23.13
13736345,28.95
13736345,28.95
13736345,28.95
