Mem usage,CPU%
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
3038773,0.0
5468323,6.26
5468323,6.26
7888437,21.8
7888437,21.8
8281653,23.01
8281653,23.01
8388608,20.46
8388608,20.46
8446279,21.2
8446279,21.2
8487174,22.65
8487174,22.65
8487174,18.85
8487174,18.85
8392802,22.6
8392802,22.6
8409579,19.01
8409579,19.01
8482979,15.28
8482979,15.28
8462008,15.32
8462008,15.32
8416919,14.99
8416919,14.99
8405385,11.59
8405385,11.59
8433696,11.35
8433696,11.35
8360296,13.68
8360296,13.68
8457814,12.49
8457814,12.49
8835301,12.79
8835301,12.79
8700035,15.73
8700035,15.73
8401190,12.46
8401190,12.46
8442085,13.99
8442085,13.99
8412725,13.05
8412725,13.05
8487174,13.59
8487174,13.59
8491368,17.46
8491368,17.46
8511291,17.66
8511291,17.66
8450473,15.72
8450473,15.72
8462008,15.02
8462008,15.02
8540651,15.35
8540651,15.35
8502902,14.57
8502902,14.57
8429502,16.67
8429502,16.67
8470396,12.28
8470396,12.28
