Mem usage,CPU%
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
3002073,0.0
8810135,22.9
8810135,22.9
9449766,72.18
9449766,72.18
9682550,71.01
9682550,71.01
10227810,73.07
10227810,73.07
10060038,72.25
10060038,72.25
9937354,77.01
9937354,77.01
10309599,68.99
10309599,68.99
10150215,75.71
10150215,75.71
10161750,68.94
10161750,68.94
10333716,72.39
10333716,72.39
9965666,63.72
9965666,63.72
10354688,55.16
10354688,55.16
10285481,54.7
10285481,54.7
10354688,56.25
10354688,56.25
10199498,52.64
10199498,52.64
10137632,46.64
10137632,46.64
10309599,45.55
10309599,45.55
10206838,58.25
10206838,58.25
9482272,52.93
9482272,52.93
10206838,58.5
10206838,58.5
10247733,48.27
10247733,48.27
10346299,55.92
10346299,55.92
10236198,52.76
10236198,52.76
10146021,54.8
10146021,54.8
10232004,54.07
10232004,54.07
10506731,56.16
10506731,56.16
10423894,53.17
10423894,53.17
10247733,56.54
10247733,56.54
10506731,51.83
10506731,51.83
10622074,57.0
