Mem usage,CPU%
35378954,0.0
35378954,0.0
35378954,0.0
35378954,0.0
35378954,0.0
35378954,0.0
35378954,0.0
35378954,0.0
33921433,2.38
33921433,2.38
34623979,11.98
34623979,11.98
45948600,104.58
45948600,104.58
48161095,95.86
48161095,95.86
50509905,99.19
50509905,99.19
48024780,105.18
48024780,105.18
48391782,94.95
48391782,94.95
48087695,96.56
48087695,96.56
48129638,96.48
48129638,96.48
48381296,90.01
48381296,90.01
48402268,81.7
48402268,81.7
48297410,94.16
48297410,94.16
48433725,93.23
48433725,93.23
48496640,96.26
48496640,96.26
48549068,106.57
48549068,106.57
48528097,94.15
48528097,94.15
48496640,90.6
48496640,90.6
48423239,102.12
48423239,102.12
48507125,94.12
48507125,94.12
48486154,97.51
48486154,97.51
48496640,91.65
48496640,91.65
48328867,86.86
48328867,86.86
48381296,95.47
48381296,95.47
48465182,91.8
48465182,91.8
48748298,91.65
48748298,91.65
48486154,96.69
48486154,96.69
48496640,95.17
48496640,95.17
48496640,93.79
48496640,93.79
48496640,96.56
48496640,96.56
48475668,89.69
48475668,89.69
48496640,91.59
48496640,91.59
17542676,84.18
