Mem usage,CPU%
2539651,0.0
4890558,2.78
4890558,2.78
4890558,2.78
9404678,2.42
9404678,2.42
20111687,12.56
20111687,12.56
10161750,19.8
10161750,19.8
15005122,2.19
15005122,2.19
20929576,5.31
20929576,5.31
36385587,10.92
36385587,10.92
69185044,64.1
69185044,64.1
69321359,130.73
69321359,130.73
71470940,151.21
71470940,151.21
71523368,143.99
71523368,143.99
71586283,160.19
71586283,160.19
71628226,151.02
71628226,151.02
71659683,159.71
71659683,159.71
71712112,134.33
71712112,134.33
72016199,142.4
72016199,142.4
71764541,133.91
71764541,133.91
71764541,151.31
71764541,151.31
71785512,142.93
71785512,142.93
71795998,146.84
71795998,146.84
71806484,134.97
71806484,134.97
71848427,148.99
71848427,148.99
71869399,120.01
71869399,120.01
71858913,152.43
71858913,152.43
71869399,134.62
71869399,134.62
71869399,136.98
71869399,136.98
71869399,131.86
71869399,131.86
72225914,154.15
72225914,154.15
72225914,150.7
72225914,150.7
79167488,135.13
79167488,135.13
79188459,135.58
79188459,135.58
79209431,152.94
79209431,152.94
79219916,144.49
79219916,144.49
78863400,154.88
78863400,154.88
