Mem usage,CPU%
105801318,0.02
105801318,0.02
105801318,0.44
105801318,0.44
105801318,0.43
105801318,0.43
105801318,0.51
105801318,0.51
105801318,0.48
105801318,0.48
120795955,55.97
120795955,55.97
120900812,67.62
120900812,67.62
121110528,73.69
121110528,73.69
120900812,70.93
120900812,70.93
121005670,77.88
121005670,77.88
121005670,76.52
121005670,76.52
121005670,72.95
121005670,72.95
121005670,76.72
121005670,76.72
121005670,84.06
121005670,84.06
121005670,82.47
121005670,82.47
121110528,65.3
121110528,65.3
121215385,67.88
121215385,67.88
121425100,66.35
121425100,66.35
121529958,70.11
121529958,70.11
121529958,66.7
121529958,66.7
121529958,64.53
121529958,64.53
121425100,72.24
121425100,72.24
121425100,72.59
121425100,72.59
121529958,71.3
121529958,71.3
121425100,73.61
121425100,73.61
119537664,47.2
119537664,47.2
122159104,75.04
122159104,75.04
122054246,75.99
122054246,75.99
122054246,78.17
122054246,78.17
122054246,76.84
122054246,76.84
122054246,80.64
122054246,80.64
122054246,75.16
122054246,75.16
122159104,78.41
122159104,78.41
122054246,77.95
122054246,77.95
122159104,77.47
122159104,77.47
119642521,41.52
119642521,41.52
119642521,0.47
119642521,0.47
119642521,0.51
119642521,0.51
119642521,0.5
119642521,0.5
119642521,0.47
119642521,0.47
119642521,0.44
119642521,0.44
119642521,0.4
119642521,0.4
119642521,0.39
119642521,0.39
119642521,0.45
119642521,0.45
119642521,0.42
119642521,0.42
