Mem usage,CPU%
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
66385346,0.01
67926753,9.88
67926753,9.88
68188897,81.78
68188897,81.78
68199383,85.25
68199383,85.25
68063068,76.04
68063068,76.04
67937239,79.53
67937239,79.53
67979182,77.61
67979182,77.61
67979182,81.61
67979182,81.61
68220354,82.52
68220354,82.52
68262297,86.66
68262297,86.66
68000153,82.2
68000153,82.2
67989667,70.3
67989667,70.3
68073553,55.05
68073553,55.05
68010639,73.47
68010639,73.47
68283269,72.67
68283269,72.67
68021125,71.18
68021125,71.18
68304240,70.95
68304240,70.95
68000153,73.4
68000153,73.4
68021125,77.77
68021125,77.77
68000153,74.29
68000153,74.29
68272783,66.07
68272783,66.07
68010639,76.6
68010639,76.6
68042096,68.73
68042096,68.73
68010639,74.89
68010639,74.89
68262297,72.05
68262297,72.05
68042096,73.6
68042096,73.6
68272783,73.29
68272783,73.29
68010639,74.63
68010639,74.63
68000153,76.55
68000153,76.55
68021125,68.77
68021125,68.77
68283269,68.17
68283269,68.17
68388126,59.89
