Mem usage,CPU%
1331691,0.0
1331691,0.0
1331691,0.03
1331691,0.03
1331691,0.02
1331691,0.02
1331691,0.02
1331691,0.02
1331691,0.02
1331691,0.02
2462056,10.33
2462056,10.33
2490368,68.34
2490368,68.34
2490368,63.1
2490368,63.1
2490368,59.23
2490368,59.23
2490368,57.74
2490368,57.74
2490368,71.12
2490368,71.12
2490368,64.18
2490368,64.18
2490368,67.93
2490368,67.93
2490368,66.53
2490368,66.53
2490368,66.24
2490368,66.24
2613051,57.23
2613051,57.23
2649751,40.86
2649751,40.86
2658140,45.37
2658140,45.37
2658140,46.68
2658140,46.68
2658140,44.56
2658140,44.56
2658140,46.98
2658140,46.98
2658140,45.61
2658140,45.61
2658140,47.97
2658140,47.97
2658140,43.86
2658140,43.86
2658140,43.2
2658140,43.2
3244294,41.28
3244294,41.28
3903848,46.0
3903848,46.0
3440377,46.87
3440377,46.87
3293577,45.41
3293577,45.41
3203399,45.74
3203399,45.74
3174039,43.94
3174039,43.94
3272605,44.6
3272605,44.6
3334471,45.31
3334471,45.31
3469737,45.38
3469737,45.38
3334471,46.62
3334471,46.62
3104833,31.89
3104833,31.89
3104833,0.02
3104833,0.02
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.03
3104833,0.02
3104833,0.02
3104833,0.03
3104833,0.03
3104833,0.02
3104833,0.02
3104833,0.02
3104833,0.02
