Mem usage,CPU%
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
978944,0.0
2159017,17.13
2159017,17.13
2166358,44.49
2166358,44.49
2166358,49.5
2166358,49.5
2162163,44.07
2162163,44.07
2166358,43.03
2166358,43.03
2166358,34.42
2166358,34.42
2166358,40.91
2166358,40.91
2166358,34.76
2166358,34.76
2166358,45.46
2166358,45.46
2166358,45.55
2166358,45.55
2146435,35.43
2146435,35.43
2178940,32.71
2178940,32.71
2187329,34.74
2187329,34.74
2187329,28.21
2187329,28.21
2187329,28.41
2187329,28.41
2187329,29.15
2187329,29.15
2191523,30.61
2191523,30.61
2191523,31.64
2191523,31.64
2191523,30.21
2191523,30.21
2191523,28.87
2191523,28.87
2301624,27.88
2301624,27.88
2380267,27.82
2380267,27.82
2580545,29.74
2580545,29.74
2600468,28.79
2600468,28.79
2604662,22.89
2604662,22.89
2608857,33.21
2608857,33.21
2600468,31.13
2600468,31.13
2834300,31.3
2834300,31.3
2793406,29.08
2793406,29.08
2428502,18.03
2428502,18.03
