Mem usage,CPU%
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
1609564,0.0
3526361,10.14
3526361,10.14
3735027,50.37
3735027,50.37
3915382,46.5
3915382,46.5
3858759,48.96
3858759,48.96
3882876,44.74
3882876,44.74
3788505,38.91
3788505,38.91
3908042,37.82
3908042,37.82
3739222,38.59
3739222,38.59
3891265,38.61
3891265,38.61
3919577,46.04
3919577,46.04
3690987,25.13
3690987,25.13
3833593,36.32
3833593,36.32
3895459,29.9
3895459,29.9
3911188,46.73
3911188,46.73
3932160,45.66
3932160,45.66
3903848,44.98
3903848,44.98
3964665,38.0
3964665,38.0
4084203,43.67
4084203,43.67
3822059,41.54
3822059,41.54
4226809,45.14
4226809,45.14
3706716,39.61
3706716,39.61
4009754,38.9
4009754,38.9
3948937,44.04
3948937,44.04
4104126,45.39
4104126,45.39
4112515,44.47
4112515,44.47
4059037,45.12
4059037,45.12
4059037,45.12
4112515,45.43
4112515,45.43
4235198,46.06
4235198,46.06
4411359,43.25
4411359,43.25
4325376,46.51
4325376,46.51
3994025,43.53
3994025,43.53
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
3994025,0.0
