Technology,Tool,Total requests made,AVG RPS,Min latency,AVG latency,Max latency,Success rate,Max mem usage,Max CPU usage
rust_rocket,wrk,36058,3589.48,0,0.01405,0.11921,1.0,4411359,50.37
python_fastapi3,my_util,9493,939.1,0.001315,0.052929,0.314407,1.0,171232460,98.62
python_fastapi2,my_util,10608,1051.1,0.001518,0.047404,0.20148,1.0,122159104,84.06
go_fiber,wrk,155538,15464.41,0,0.00376,0.06003,1.0,7275020,48.2
php_laravel_apache_nginx,my_util,206,10.2,1.300704,3.504501,5.114598,0.03921569,0,0.0
rust_actix,my_util,130298,13021.0,0.0001,0.003721,0.043142,1.0,3903848,71.12
go_gin,my_util,17163,1706.7,0.000222,0.027045,0.310418,1.0,13956546,39.2
go_gnet,go-wrk,13160,1290.32,0.000719,0.038009,0.227215,1.0,8835301,23.01
rust_rocket,go-wrk,33934,3359.78,0.000807,0.014731,0.104263,1.0,4411359,50.37
php_laravel_apache,wrk,22,2.19,0,1.06,1.8,1.0,0,0.0
python_fastapi2,go-wrk,8880,858.7,0.001823,0.056457,0.212191,1.0,122159104,84.06
rust_actix,go-wrk,148683,14773.7,0.000107,0.003356,0.055523,1.0,3903848,71.12
python_fastapi1,my_util,10125,1000.8,0.001254,0.04917,0.245597,1.0,49073356,77.95
go_std,my_util,127483,12737.1,0.000103,0.00385,0.046673,1.0,10622074,77.01
go_fiber,go-wrk,78850,7800.56,0.000109,0.006332,0.078991,1.0,7275020,48.2
go_std,go-wrk,129718,12900.84,0.000106,0.003849,0.051981,1.0,10622074,77.01
go_gnet,my_util,12954,1284.1,0.000197,0.029558,0.361374,1.0,8835301,23.01
go_gin,wrk,47936,4746.11,0,0.01072,0.07533,1.0,13956546,39.2
go_std,wrk,205481,20469.9,0,0.0028,0.04657,1.0,10622074,77.01
go_fiber,my_util,57201,5711.1,0.000104,0.008128,0.124145,1.0,7275020,48.2
rust_rocket,my_util,32611,3251.2,0.000357,0.014113,0.094535,1.0,4411359,50.37
php_symfony,my_util,6620,652.9,0.015971,0.076288,0.191653,1.0,79219916,160.19
nodejs_express,my_util,25728,2562.0,0.00095,0.019475,0.36101,1.0,50509905,106.57
python_fastapi4,go-wrk,8040,766.19,0.002463,0.062204,0.355487,1.0,203738316,96.07
go_fasthttp,wrk,151049,15046.76,0,0.00407,0.05822,1.0,7750025,47.13
python_fastapi3,wrk,9619,953.46,0,0.05381,0.21059,1.0,171232460,98.62
go_gin,go-wrk,27828,2703.44,0.000276,0.017956,0.155255,1.0,13956546,39.2
php_laravel,go-wrk,1445,138.21,0.176144,0.35196,0.546559,1.0,79817605,88.3
nodejs_express,wrk,23334,2323.04,0,0.03022,0.84686,1.0,50509905,106.57
python_fastapi1,go-wrk,8579,841.03,0.005627,0.058502,0.195575,1.0,49073356,77.95
nodejs_express,go-wrk,23285,2307.45,0.000764,0.021485,0.675519,1.0,50509905,106.57
php_laravel,my_util,1492,139.1,0.026562,0.347737,0.449959,1.0,79817605,88.3
php_symfony,go-wrk,6510,641.69,0.037432,0.0772,0.198327,1.0,79219916,160.19
rust_ntex,wrk,147030,14562.53,0,0.00406,0.05583,1.0,2834300,49.5
rust_actix,wrk,220717,21989.34,0,0.00258,0.0513,1.0,3903848,71.12
nodejs_hyperexpress,my_util,44366,4428.0,0.000135,0.010282,0.132998,1.0,31541166,47.55
php_laravel_apache,my_util,248,15.0,3.000235,3.00677,3.018256,0.0,0,0.0
php_laravel_apache,go-wrk,0,0,0,0,0,0,0,0.0
python_flask,wrk,11208,1109.72,0,0.04462,0.11141,1.0,68388126,86.66
rust_ntex,go-wrk,71208,7034.53,0.000105,0.007014,0.167191,1.0,2834300,49.5
go_fasthttp,go-wrk,58888,5816.31,0.000115,0.008478,0.099423,1.0,7750025,47.13
php_symfony,wrk,4657,463.26,0,0.09105,0.68544,1.0,79219916,160.19
go_fasthttp,my_util,49197,4910.6,0.000102,0.009378,0.121981,1.0,7750025,47.13
python_fastapi1,wrk,10329,1029.56,0,0.04855,0.33236,1.0,49073356,77.95
php_laravel_apache_nginx,wrk,49,4.85,0,1.1,1.98,1.0,0,0.0
python_fastapi3,go-wrk,8962,885.1,0.001221,0.055926,0.264351,1.0,171232460,98.62
nodejs_hyperexpress,wrk,142533,14145.57,0,0.00429,0.05828,1.0,31541166,47.55
python_flask,my_util,9576,947.3,0.007198,0.051523,0.219753,1.0,68388126,86.66
python_flask,go-wrk,9558,932.99,0.001218,0.052408,0.258847,1.0,68388126,86.66
python_fastapi2,wrk,8533,847.77,0,0.05928,0.27239,1.0,122159104,84.06
php_laravel,wrk,994,98.5,0,0.35305,0.44738,1.0,79817605,88.3
go_gnet,wrk,25392,2532.38,0,0.01104,0.11122,1.0,8835301,23.01
php_laravel_apache_nginx,go-wrk,0,0,0,0,0,0,0,0.0
nodejs_hyperexpress,go-wrk,60739,5984.9,0.000125,0.008217,0.083907,1.0,31541166,47.55
rust_ntex,my_util,47313,4720.7,0.00011,0.009692,0.236255,1.0,2834300,49.5
python_fastapi4,wrk,10134,1007.41,0,0.0513,0.33582,1.0,203738316,96.07
python_fastapi4,my_util,8785,869.1,0.002159,0.056631,0.432699,1.0,203738316,96.07
